Frame #, object ID, x, y, width, height0, 1, 582, 469, 63, 46
0, 2, 540, 472, 48, 41
0, 3, 612, 487, 102, 76
0, 4, 3, 396, 198, 622
0, 5, 294, 446, 168, 375
1, 1, 588, 472, 60, 44
1, 2, 540, 472, 48, 41
1, 3, 612, 487, 102, 79
1, 4, 6, 413, 192, 595
1, 5, 300, 449, 159, 378
2, 1, 585, 469, 63, 46
2, 2, 540, 472, 48, 44
2, 3, 612, 487, 105, 76
2, 4, 0, 396, 192, 598
2, 5, 303, 451, 156, 375
3, 6, 510, 454, 30, 20
3, 1, 585, 472, 66, 49
3, 2, 540, 472, 48, 44
3, 3, 615, 490, 105, 76
3, 7, 1803, 425, 90, 237
3, 4, 3, 399, 192, 589
3, 5, 303, 451, 156, 381
4, 1, 585, 472, 63, 46
4, 2, 540, 469, 48, 44
4, 3, 615, 490, 105, 76
4, 4, 0, 387, 195, 616
4, 5, 306, 451, 159, 375
4, 6, 507, 451, 30, 20
4, 7, 1809, 419, 90, 237
5, 8, 513, 454, 42, 38
5, 1, 588, 472, 57, 44
5, 2, 540, 466, 51, 46
5, 3, 615, 490, 111, 76
5, 4, 0, 358, 198, 642
5, 5, 306, 451, 156, 387
5, 6, 507, 451, 30, 20
5, 7, 1797, 387, 90, 237
6, 1, 588, 469, 66, 46
6, 2, 540, 469, 54, 44
6, 3, 618, 490, 111, 79
6, 4, 0, 369, 198, 616
6, 5, 309, 451, 156, 381
6, 6, 507, 451, 30, 20
6, 7, 1818, 384, 90, 237
6, 8, 513, 454, 42, 38
7, 8, 513, 454, 36, 26
7, 1, 588, 469, 72, 49
7, 2, 540, 469, 54, 44
7, 3, 621, 490, 111, 79
7, 4, 0, 366, 207, 610
7, 5, 315, 454, 150, 369
7, 6, 507, 451, 30, 20
8, 8, 510, 454, 42, 29
8, 1, 588, 472, 72, 49
8, 2, 540, 469, 54, 46
8, 3, 618, 490, 114, 82
8, 4, 0, 375, 213, 601
8, 5, 312, 454, 159, 363
9, 8, 513, 454, 33, 26
9, 1, 585, 472, 66, 49
9, 2, 543, 469, 54, 44
9, 3, 624, 490, 117, 82
9, 4, 3, 366, 210, 619
9, 5, 318, 454, 156, 363
10, 8, 510, 451, 36, 23
10, 2, 543, 469, 54, 46
10, 1, 591, 472, 63, 49
10, 3, 624, 490, 117, 82
10, 4, 3, 381, 216, 607
10, 5, 324, 457, 150, 349
11, 8, 510, 451, 39, 23
11, 9, 720, 469, 36, 26
11, 2, 543, 469, 54, 46
11, 1, 591, 469, 66, 52
11, 3, 624, 490, 114, 85
11, 4, 6, 372, 213, 604
11, 5, 324, 451, 156, 360
12, 8, 510, 451, 36, 23
12, 2, 543, 472, 54, 44
12, 1, 591, 472, 66, 52
12, 3, 624, 490, 120, 85
12, 4, 9, 387, 213, 581
12, 5, 327, 449, 153, 360
12, 9, 720, 469, 36, 26
13, 8, 507, 451, 39, 26
13, 1, 591, 469, 72, 52
13, 3, 624, 490, 117, 85
13, 10, 672, 0, 1242, 1047
13, 4, 9, 384, 222, 592
13, 5, 324, 449, 156, 358
13, 2, 540, 469, 54, 44
13, 9, 720, 469, 36, 26
14, 8, 510, 451, 36, 26
14, 9, 720, 469, 48, 26
14, 2, 543, 472, 54, 46
14, 1, 591, 469, 72, 52
14, 3, 627, 490, 123, 88
14, 4, 12, 396, 219, 560
14, 5, 327, 443, 156, 366
14, 10, 723, 38, 1197, 1042
15, 8, 510, 451, 39, 26
15, 2, 546, 469, 54, 46
15, 1, 594, 469, 75, 52
15, 9, 723, 472, 45, 26
15, 11, 759, 469, 39, 26
15, 3, 627, 493, 126, 88
15, 4, 24, 396, 204, 548
15, 5, 330, 440, 153, 369
15, 10, 717, 90, 1203, 990
16, 8, 510, 451, 39, 23
16, 2, 543, 469, 54, 44
16, 1, 594, 469, 75, 52
16, 11, 762, 475, 45, 26
16, 3, 630, 490, 126, 90
16, 4, 27, 396, 204, 540
16, 5, 330, 440, 153, 363
16, 9, 723, 469, 45, 26
16, 10, 714, 93, 1206, 987
17, 8, 510, 451, 39, 26
17, 2, 546, 469, 57, 46
17, 11, 762, 472, 51, 32
17, 1, 594, 472, 72, 52
17, 3, 630, 490, 132, 93
17, 4, 45, 393, 195, 525
17, 5, 333, 443, 150, 363
17, 9, 723, 469, 45, 26
18, 8, 510, 451, 39, 26
18, 2, 546, 469, 57, 44
18, 1, 597, 469, 75, 49
18, 3, 633, 490, 132, 96
18, 4, 45, 399, 201, 507
18, 5, 336, 449, 150, 355
18, 9, 726, 469, 45, 26
18, 11, 762, 469, 51, 32
19, 8, 510, 451, 39, 26
19, 2, 549, 469, 54, 46
19, 1, 594, 475, 72, 49
19, 3, 636, 490, 135, 99
19, 4, 48, 405, 207, 490
19, 5, 342, 449, 141, 349
19, 9, 726, 469, 45, 26
19, 11, 759, 469, 51, 32
20, 8, 510, 451, 36, 26
20, 12, 816, 478, 48, 35
20, 2, 546, 469, 57, 46
20, 1, 600, 472, 69, 52
20, 3, 636, 490, 141, 102
20, 4, 54, 410, 210, 478
20, 5, 345, 451, 141, 346
20, 11, 759, 466, 51, 32
21, 8, 510, 451, 39, 26
21, 12, 819, 475, 57, 41
21, 2, 546, 469, 54, 49
21, 1, 600, 475, 72, 52
21, 3, 636, 490, 144, 102
21, 4, 63, 419, 204, 475
21, 5, 351, 454, 135, 337
21, 11, 759, 466, 51, 32
22, 8, 510, 449, 39, 26
22, 2, 546, 469, 57, 49
22, 1, 594, 475, 72, 55
22, 12, 825, 478, 66, 41
22, 3, 636, 493, 150, 102
22, 4, 75, 413, 195, 466
22, 5, 354, 451, 135, 346
23, 8, 510, 451, 39, 26
23, 13, 750, 469, 45, 32
23, 12, 831, 478, 63, 41
23, 2, 546, 469, 57, 49
23, 1, 594, 472, 75, 55
23, 3, 639, 493, 153, 105
23, 4, 69, 405, 207, 487
23, 5, 357, 454, 135, 340
24, 8, 510, 451, 39, 26
24, 1, 600, 472, 75, 55
24, 13, 750, 469, 48, 32
24, 12, 837, 475, 66, 44
24, 2, 546, 469, 57, 49
24, 14, 900, 478, 60, 67
24, 3, 639, 493, 159, 108
24, 4, 78, 399, 216, 484
24, 5, 357, 454, 138, 334
25, 8, 510, 451, 39, 26
25, 1, 600, 472, 75, 58
25, 2, 546, 469, 54, 46
25, 12, 840, 478, 69, 38
25, 14, 906, 484, 84, 67
25, 3, 645, 493, 159, 108
25, 4, 81, 396, 216, 484
25, 5, 363, 454, 129, 322
25, 13, 747, 466, 48, 32
26, 8, 510, 451, 39, 26
26, 1, 606, 469, 81, 61
26, 12, 849, 478, 72, 41
26, 2, 546, 469, 57, 46
26, 14, 915, 478, 120, 76
26, 3, 645, 493, 159, 114
26, 4, 84, 410, 219, 460
26, 5, 363, 454, 132, 316
26, 13, 747, 466, 48, 32
27, 12, 852, 475, 72, 41
27, 2, 546, 469, 57, 49
27, 1, 606, 472, 78, 61
27, 14, 924, 478, 156, 82
27, 3, 651, 493, 162, 114
27, 4, 84, 410, 216, 481
27, 5, 360, 451, 138, 311
27, 13, 747, 466, 48, 32
27, 8, 510, 451, 39, 26
28, 2, 546, 469, 57, 49
28, 1, 606, 469, 81, 64
28, 12, 855, 478, 78, 41
28, 14, 930, 481, 159, 79
28, 3, 651, 493, 168, 120
28, 5, 360, 454, 144, 305
28, 4, 87, 413, 213, 472
28, 13, 747, 466, 48, 32
28, 8, 510, 451, 39, 26
29, 8, 510, 451, 42, 26
29, 2, 549, 472, 54, 46
29, 1, 606, 469, 84, 64
29, 12, 861, 478, 87, 41
29, 14, 942, 481, 168, 85
29, 3, 651, 493, 174, 120
29, 4, 96, 413, 207, 460
29, 5, 360, 454, 141, 308
30, 8, 507, 451, 42, 26
30, 15, 1185, 478, 69, 20
30, 2, 546, 472, 57, 49
30, 1, 603, 469, 87, 64
30, 12, 870, 478, 90, 41
30, 14, 951, 484, 177, 85
30, 3, 654, 495, 177, 126
30, 4, 102, 422, 198, 451
30, 5, 357, 454, 147, 311
31, 8, 510, 449, 42, 26
31, 2, 552, 472, 57, 49
31, 1, 606, 469, 90, 67
31, 12, 873, 478, 90, 44
31, 14, 957, 484, 186, 85
31, 3, 657, 495, 183, 126
31, 15, 1182, 478, 66, 20
31, 4, 102, 416, 201, 457
31, 5, 357, 454, 144, 308
32, 2, 549, 469, 63, 52
32, 12, 882, 475, 87, 46
32, 15, 1176, 478, 78, 20
32, 1, 606, 469, 87, 67
32, 14, 969, 484, 192, 85
32, 3, 657, 493, 192, 135
32, 4, 117, 431, 180, 434
32, 5, 357, 454, 141, 305
32, 8, 510, 449, 42, 26
33, 8, 510, 449, 36, 26
33, 2, 549, 469, 60, 49
